datetime,place,city,state,temperature,precipitation_total,wind_speed,humidity
2024-04-06,Gita Bayu,Balakong,Selangor,30.521180555555556,15.6,0.5232638888888889,77.83402777777778
2024-04-06,Petaling,Shah Alam,Selangor,33.00729166666667,0.0,1.317013888888889,72.49270833333334
2024-04-06,Saujana Villa,Kajang,Selangor,31.61527777777778,0.0,1.3934027777777778,75.37222222222222
2024-04-06,Taman Tasik Semenyih,Kajang,Selangor,30.14808362369338,48.0,0.0013937282229965157,83.47177700348432
2024-04-07,Bandar Saujana Utama,Kuala Selangor,Selangor,27.967361111111114,1689.07,0.2701388888888889,97.02881944444444
2024-04-07,Damansara Jaya,Petaling Jaya,Selangor,29.307986111111113,0.0,0.2559027777777778,84.36666666666666
2024-04-07,Encorp Cahaya Alam,Shah Alam,Selangor,28.754681647940075,1230.57,2.7277153558052434,10.0
2024-04-07,Gita Bayu,Balakong,Selangor,28.92361111111111,478.8,0.5125,83.22152777777778
2024-04-07,Petaling,Shah Alam,Selangor,30.311458333333334,375.02000000000004,0.9291666666666667,81.11493055555555
2024-04-07,Saujana Villa,Kajang,Selangor,30.127777777777776,54.97,0.9173611111111111,81.51597222222222
2024-04-07,Taman Tasik Semenyih,Kajang,Selangor,28.692592592592593,0.0,0.006172839506172839,87.85390946502058
2024-04-08,Bandar Saujana Utama,Kuala Selangor,Selangor,27.070833333333333,28.25,0.17569444444444446,99.0
2024-04-08,Damansara Jaya,Petaling Jaya,Selangor,26.646527777777777,995.6800000000001,0.20625,93.94062500000001
2024-04-08,Encorp Cahaya Alam,Shah Alam,Selangor,28.646212121212123,0.0,2.525378787878788,10.0
2024-04-08,Gita Bayu,Balakong,Selangor,27.945833333333333,32.699999999999996,0.2347222222222222,87.88645833333334
2024-04-08,Petaling,Shah Alam,Selangor,29.785763888888887,0.0,0.8482638888888889,79.5454861111111
2024-04-08,Saujana Villa,Kajang,Selangor,27.752083333333335,87.13,0.7093750000000001,92.08125000000001
2024-04-08,Taman Tasik Semenyih,Kajang,Selangor,26.554513888888888,894.0899999999999,0.0,95.98958333333333
2024-04-09,Bandar Saujana Utama,Kuala Selangor,Selangor,27.05034722222222,1137.41,0.12465277777777778,98.96979166666667
2024-04-09,Damansara Jaya,Petaling Jaya,Selangor,26.729166666666668,58.18,0.4065972222222223,94.42604166666666
2024-04-09,Encorp Cahaya Alam,Shah Alam,Selangor,28.271666666666665,251.49,2.2858333333333336,10.0
2024-04-09,Gita Bayu,Balakong,Selangor,28.08923611111111,731.62,0.44479166666666664,87.76631944444445
2024-04-09,Petaling,Shah Alam,Selangor,29.701742160278744,1013.99,0.8717770034843205,80.47386759581882
2024-04-09,Saujana Villa,Kajang,Selangor,29.048958333333335,114.2,0.7281249999999999,87.28923611111111
2024-04-09,Taman Tasik Semenyih,Kajang,Selangor,28.191666666666666,15.5,0.004861111111111111,91.32777777777778
2024-04-10,Bandar Saujana Utama,Kuala Selangor,Selangor,27.43923611111111,31.5,0.3809027777777778,99.0
2024-04-10,Damansara Jaya,Petaling Jaya,Selangor,25.54981549815498,0.0,0.5870848708487084,94.17601476014761
2024-04-10,Encorp Cahaya Alam,Shah Alam,Selangor,28.471698113207548,375.0,2.526415094339623,10.0
2024-04-10,Gita Bayu,Balakong,Selangor,27.799305555555556,0.0,0.3534722222222222,88.75277777777778
2024-04-10,Petaling,Shah Alam,Selangor,29.177083333333332,601.96,0.6305555555555555,84.37534722222222
2024-04-10,Saujana Villa,Kajang,Selangor,28.79756944444445,0.0,0.6510416666666666,88.56041666666667
2024-04-10,Taman Tasik Semenyih,Kajang,Selangor,28.46631944444444,547.55,0.016319444444444445,90.10138888888889
2024-04-11,Bandar Saujana Utama,Kuala Selangor,Selangor,28.989583333333332,0.0,0.4774305555555556,91.61493055555555
2024-04-11,Damansara Jaya,Petaling Jaya,Selangor,26.815624999999997,0.0,0.5927083333333333,88.17604166666666
2024-04-11,Encorp Cahaya Alam,Shah Alam,Selangor,28.637016574585637,0.0,1.856353591160221,10.0
2024-04-11,Gita Bayu,Balakong,Selangor,29.956249999999997,0.0,0.6826388888888889,74.83402777777778
2024-04-11,Petaling,Shah Alam,Selangor,31.774475524475523,0.0,1.0024475524475525,69.92237762237762
2024-04-11,Saujana Villa,Kajang,Selangor,30.638541666666665,0.0,1.5302083333333334,75.82986111111111
2024-04-11,Taman Tasik Semenyih,Kajang,Selangor,28.711627906976744,0.0,0.07751937984496124,82.89186046511627
2024-04-12,Bandar Saujana Utama,Kuala Selangor,Selangor,29.094982078853047,187.77,0.543010752688172,93.24121863799283
2024-04-12,Damansara Jaya,Petaling Jaya,Selangor,28.54930555555556,0.0,0.5454861111111111,85.41736111111112
2024-04-12,Encorp Cahaya Alam,Shah Alam,Selangor,29.42198275862069,38.55,2.589224137931035,10.0
2024-04-12,Gita Bayu,Balakong,Selangor,29.81493055555556,112.85,0.8555555555555556,79.10104166666666
2024-04-12,Petaling,Shah Alam,Selangor,31.844599303135887,21.25,1.0926829268292684,72.25156794425088
2024-04-12,Saujana Villa,Kajang,Selangor,30.351041666666667,409.97,1.4125,80.01944444444445
2024-04-12,Taman Tasik Semenyih,Kajang,Selangor,29.735763888888886,0.0,0.0038194444444444448,83.11423611111111
2024-04-13,Bandar Saujana Utama,Kuala Selangor,Selangor,26.992013888888888,2535.68,0.37604166666666666,98.85208333333334
2024-04-13,Damansara Jaya,Petaling Jaya,Selangor,28.70069444444444,0.0,0.6288194444444444,85.30381944444444
2024-04-13,Encorp Cahaya Alam,Shah Alam,Selangor,28.3295719844358,2436.04,3.0494163424124516,10.0
2024-04-13,Gita Bayu,Balakong,Selangor,29.631249999999998,97.92,0.6236111111111111,79.51458333333333
2024-04-13,Petaling,Shah Alam,Selangor,29.720138888888886,3776.87,1.053125,82.24895833333333
2024-04-13,Saujana Villa,Kajang,Selangor,30.75763888888889,183.96,0.9569444444444445,78.84270833333333
2024-04-13,Taman Tasik Semenyih,Kajang,Selangor,29.505594405594408,0.0,0.014335664335664335,84.21783216783217
2024-04-14,Bandar Saujana Utama,Kuala Selangor,Selangor,27.48263888888889,2757.6,0.31006944444444445,98.31944444444444
2024-04-14,Damansara Jaya,Petaling Jaya,Selangor,28.89861111111111,0.0,0.28680555555555554,87.56354166666667
2024-04-14,Encorp Cahaya Alam,Shah Alam,Selangor,27.90643776824034,841.01,2.5399141630901285,10.0
2024-04-14,Gita Bayu,Balakong,Selangor,28.943055555555556,51.6,0.6513888888888889,82.19062500000001
2024-04-14,Petaling,Shah Alam,Selangor,29.713780918727917,2523.4,0.99434628975265,83.08303886925795
2024-04-14,Saujana Villa,Kajang,Selangor,29.488888888888887,0.0,1.5347222222222223,83.82499999999999
2024-04-14,Taman Tasik Semenyih,Kajang,Selangor,27.914236111111112,610.01,0.05555555555555555,90.84305555555555
2024-04-15,Bandar Saujana Utama,Kuala Selangor,Selangor,27.445993031358885,497.75,0.3759581881533101,99.0
2024-04-15,Damansara Jaya,Petaling Jaya,Selangor,29.108333333333334,0.0,0.42291666666666666,86.38368055555556
2024-04-15,Encorp Cahaya Alam,Shah Alam,Selangor,29.166101694915252,60.87,2.5957627118644067,10.0
2024-04-15,Gita Bayu,Balakong,Selangor,29.34444444444445,65.77,0.6572916666666667,83.01249999999999
2024-04-15,Petaling,Shah Alam,Selangor,31.116376306620207,209.64999999999998,1.2324041811846689,78.31358885017421
2024-04-15,Saujana Villa,Kajang,Selangor,29.837500000000002,473.18,1.6725694444444443,84.39722222222223
2024-04-15,Taman Tasik Semenyih,Kajang,Selangor,28.946875000000002,1178.59,0.0642361111111111,87.81770833333333
