month,route_line,ridership
2023-03,LRT Kelana Jaya Line,6489551.0
2023-03,MRT Kajang Line,5525715.0
2023-03,MRT Putrajaya Line,2036718.0
2023-04,KL Monorail,1377627.0
2023-04,KTM,1030618.0
2023-04,LRT Ampang/Sri Petaling Line,3338686.0
2023-04,LRT Kelana Jaya Line,5399898.0
2023-04,MRT Kajang Line,4908411.0
2023-04,MRT Putrajaya Line,2137546.0
2023-05,KL Monorail,1439986.0
2023-05,KTM,1062415.0
2023-05,LRT Ampang/Sri Petaling Line,4094851.0
2023-05,LRT Kelana Jaya Line,6067411.0
2023-05,MRT Kajang Line,5444245.0
2023-05,MRT Putrajaya Line,2543049.0
2023-06,KL Monorail,1453674.0
2023-06,KTM,1085727.0
2023-06,LRT Ampang/Sri Petaling Line,4143689.0
2023-06,LRT Kelana Jaya Line,5940788.0
2023-06,MRT Kajang Line,5405343.0
2023-06,MRT Putrajaya Line,2542969.0
2023-07,KL Monorail,1507056.0
2023-07,KTM,1080164.0
2023-07,LRT Ampang/Sri Petaling Line,4237733.0
2023-07,LRT Kelana Jaya Line,6229737.0
2023-07,MRT Kajang Line,5626647.0
2023-07,MRT Putrajaya Line,2781645.0
2023-08,KL Monorail,1601305.0
2023-08,KTM,1112143.0
2023-08,LRT Ampang/Sri Petaling Line,4482065.0
2023-08,LRT Kelana Jaya Line,6583736.0
2023-08,MRT Kajang Line,5906244.0
2023-08,MRT Putrajaya Line,3099685.0
2023-09,KL Monorail,1519717.0
2023-09,KTM,1198342.0
2023-09,LRT Ampang/Sri Petaling Line,4282036.0
2023-09,LRT Kelana Jaya Line,6302197.0
2023-09,MRT Kajang Line,5714336.0
2023-09,MRT Putrajaya Line,2987450.0
2023-10,KL Monorail,1622435.0
2023-10,KTM,2145829.0
2023-10,LRT Ampang/Sri Petaling Line,4633424.0
2023-10,LRT Kelana Jaya Line,6824938.0
2023-10,MRT Kajang Line,6137159.0
2023-10,MRT Putrajaya Line,3299662.0
2023-11,KL Monorail,1683327.0
2023-11,KTM,2232681.0
2023-11,LRT Ampang/Sri Petaling Line,4572190.0
2023-11,LRT Kelana Jaya Line,6630252.0
2023-11,MRT Kajang Line,6133584.0
2023-11,MRT Putrajaya Line,3320682.0
2023-12,KL Monorail,1802759.0
2023-12,KTM,2322892.0
2023-12,LRT Ampang/Sri Petaling Line,4561106.0
2023-12,LRT Kelana Jaya Line,6479670.0
2023-12,MRT Kajang Line,6749650.0
2023-12,MRT Putrajaya Line,3624550.0
2024-01,KL Monorail,1680097.0
2024-01,KTM,2226425.0
2024-01,LRT Ampang/Sri Petaling Line,4505943.0
2024-01,LRT Kelana Jaya Line,6591331.0
2024-01,MRT Kajang Line,6506378.0
2024-01,MRT Putrajaya Line,3651371.0
2024-02,KL Monorail,1602411.0
2024-02,KTM,2221655.0
2024-02,LRT Ampang/Sri Petaling Line,4430513.0
2024-02,LRT Kelana Jaya Line,6236607.0
2024-02,MRT Kajang Line,6167840.0
2024-02,MRT Putrajaya Line,3364322.0
2024-03,KL Monorail,1607756.0
2024-03,KTM,2126261.0
2024-03,LRT Ampang/Sri Petaling Line,5196908.0
2024-03,LRT Kelana Jaya Line,6937237.0
2024-03,MRT Kajang Line,6650215.0
2024-03,MRT Putrajaya Line,3746093.0
2024-04,KL Monorail,1557086.0
2024-04,KTM,2138530.0
2024-04,LRT Ampang/Sri Petaling Line,4894934.0
2024-04,LRT Kelana Jaya Line,6445256.0
2024-04,MRT Kajang Line,6262373.0
2024-04,MRT Putrajaya Line,3575514.0
2024-05,KL Monorail,1605161.0
2024-05,KTM,2290715.0
2024-05,LRT Ampang/Sri Petaling Line,5607473.0
2024-05,LRT Kelana Jaya Line,7206997.0
2024-05,MRT Kajang Line,7112851.0
2024-05,MRT Putrajaya Line,4045346.0
2024-06,KL Monorail,1610528.0
2024-06,KTM,2211551.0
2024-06,LRT Ampang/Sri Petaling Line,5196642.0
2024-06,LRT Kelana Jaya Line,6555829.0
2024-06,MRT Kajang Line,6723816.0
2024-06,MRT Putrajaya Line,3729030.0
2024-07,KL Monorail,1681693.0
2024-07,KTM,2218135.0
